drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
VELIPARIB,5,stacking,ridge,1.0,-0.3898349500757634,163,40,mrna,0.781257290860343
VISMODEGIB,1,stacking,ridge,1.0,0.3187612989750246,162,41,mrna,0.44985823508010275
VISMODEGIB,2,stacking,ridge,1.0,0.07237390080064454,162,41,mrna,0.40607192995934244
VISMODEGIB,3,stacking,ridge,1.0,0.011725997795644538,162,41,mrna,0.483032925697594
VISMODEGIB,4,stacking,ridge,1.0,-0.05706710109213464,163,40,mrna,0.5018264341834696
VISMODEGIB,5,stacking,ridge,1.0,0.18651399908515032,163,40,mrna,0.6200105910727717
VORINOSTAT,1,stacking,ridge,1.0,-0.14380353240414356,162,41,mrna,0.501328818614399
VORINOSTAT,2,stacking,ridge,1.0,-0.06034300833182582,162,41,mrna,0.5092422548161152
VORINOSTAT,3,stacking,ridge,1.0,-0.0628034028048613,162,41,mrna,0.6391716402487654
VORINOSTAT,4,stacking,ridge,1.0,-0.0772634396375429,163,40,mrna,0.4473907342597027
VORINOSTAT,5,stacking,ridge,1.0,-0.12881145287706675,163,40,mrna,0.4339932919121567
WEE1 INHIBITOR,1,stacking,ridge,1.0,-0.2826991454597825,162,41,mrna,0.5381833576812847
WEE1 INHIBITOR,2,stacking,ridge,1.0,0.12387202740527914,162,41,mrna,0.6985231894660637
WEE1 INHIBITOR,3,stacking,ridge,1.0,0.1058637903298485,162,41,mrna,0.5824067935773519
WEE1 INHIBITOR,4,stacking,ridge,1.0,-0.06994990757081876,163,40,mrna,0.47893760390563794
WEE1 INHIBITOR,5,stacking,ridge,1.0,0.09745304334810156,163,40,mrna,0.6842999759665966
YK-4-279,1,stacking,ridge,1.0,0.15409256897420964,162,41,mrna,0.6429773284654078
YK-4-279,2,stacking,ridge,1.0,0.030616175118357347,162,41,mrna,0.5800200563578811
YK-4-279,3,stacking,ridge,1.0,-0.35403383638261166,162,41,mrna,0.11981577963973382
YK-4-279,4,stacking,ridge,1.0,0.09783401053177498,163,40,mrna,0.519740346169928
YK-4-279,5,stacking,ridge,1.0,-0.28822774205620827,163,40,mrna,0.7184966841472884
ZM447439,1,stacking,ridge,1.0,-0.4374938253077578,162,41,mrna,0.6832025300237828
ZM447439,2,stacking,ridge,1.0,-0.43383774572649614,162,41,mrna,0.5081675836164268
ZM447439,3,stacking,ridge,1.0,-0.5167397657596298,162,41,mrna,0.42276091366479984
